Madame_Francis	11A	Caribbean	SRR8521837
Azucar	11B	Americas	SRR8521838
Julie	11D	Caribbean	SRR8521836
Number_11	16A	Caribbean	SRR8521830
Long	17C	Caribbean	SRR8521754
Baptiste	6B	Caribbean	SRR8521775
Ataulfo	6D	Mexico	SRR8521777
Fairchild	6E	Americas	SRR8521778
Mamita	9A	Caribbean	SRR8521896
Rosa	9D	Americas	SRR8521897
Banilejo	9E	Caribbean	SRR8521892
Esmeralda	CC	Mexico	SRR8521903
Pascual	CE	Caribbean	SRR8521901
Turpentine	DB	Caribbean	SRR8521860
Manilita	DG	Mexico	SRR8521856
Espada	EE	Americas	SRR8521851
East_Indian	EH	Caribbean	SRR8521875
Biscochuelo	FC	Caribbean	SRR8521878
Lancetilla	GC	Americas	SRR8521796
Corazon	HG	Caribbean	SRR8521814
Bombay	JA	Caribbean	SRR8521808
Oro	KC	Mexico	SRR8521803
Toledo	KF	Caribbean	SRR8521787
Manila	ME	Mexico	SRR8521792
Diplomatico	NG	Americas	SRR8521784
Peach	OH	Caribbean	SRR8521770
San_Felipe	PG	Caribbean	SRR8521768
Prieto	QG	Caribbean	SRR8521764
Extrema	RA	Americas	SRR8521763
Vallenato	WB	Americas	SRR8521889
Graham	WC	Caribbean	SRR8521890
Manga_Blanca	WE	Caribbean	SRR8521865
